product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,fp1,comp_2,fp2,comp_3,fp3,lag_price,month_order,ps1_prev,ps2_prev,ps3_prev,total_price_prev,qty_prev
bed4,bed_bath_table,01-10-2017,29,1331.1,13.88241379,45.9,38,735,5,800,4.2,50,22,9,2,10,2017,39.7260274,8000,89.9,21.57214286,45.9,13.88241379,45.95,15.1,45.85,10,3.9,4.2,4.0,1331.1,29.0
bed4,bed_bath_table,01-11-2017,32,1421.67,13.95875,44.15444444,38,735,5,800,4.2,97,22,8,4,11,2017,43.83561644,8000,89.9,16.294,44.15444444,13.95875,40.53181818,15.83272727,45.9,11,3.9,4.2,4.0,1331.1,29.0
bed4,bed_bath_table,01-12-2017,12,550.8,13.6875,45.9,38,735,5,800,4.2,41,21,10,1,12,2017,16.43835616,8000,88.48823529,18.89833333,45.9,13.6875,39.99,15.23,44.15444444,12,3.9,4.2,4.0,1421.67,32.0
bed4,bed_bath_table,01-01-2018,19,872.1,14.18210526,45.9,38,735,5,800,4.2,62,23,8,2,1,2018,32.75862069,8000,86.9,19.38352941,45.9,14.18210526,39.99,16.53368421,45.9,13,3.9,4.2,4.0,550.8,12.0
bed4,bed_bath_table,01-02-2018,16,734.4,12.1725,45.9,38,735,5,800,4.2,62,20,8,2,2,2018,27.5862069,8000,86.9,19.20909091,45.9,12.1725,39.99,13.74944444,45.9,14,3.9,4.2,4.0,872.1,19.0
bed4,bed_bath_table,01-03-2018,8,383.2,15.22625,47.9,38,735,5,800,4.2,43,22,9,1,3,2018,13.79310345,8000,86.9,19.98235294,47.9,15.22625,39.99,16.46235294,45.9,15,3.9,4.2,4.0,734.4,16.0
bed4,bed_bath_table,01-04-2018,7,335.3,19.08428571,47.9,38,735,5,800,4.2,34,21,9,1,4,2018,12.06896552,8000,85.045,12.94,47.9,19.08428571,39.99,14.23615385,47.9,16,3.9,4.2,4.0,383.2,8.0
bed4,bed_bath_table,01-05-2018,2,95.8,12.055,47.9,38,735,5,800,4.2,57,23,8,3,5,2018,3.448275862,8000,83.64961538,16.78038462,47.9,12.055,39.99,10.25631579,47.9,17,3.9,4.2,4.0,335.3,7.0
health5,health_beauty,01-01-2017,8,2799.2,22.90125,349.9,51,625,1,900,4.3,9,22,9,1,1,2017,12.77173913,11400,349.9,22.90125,349.9,22.90125,64.99,11.06,349.85,1,4.3,4.3,3.9,2799.2,8.0
health5,health_beauty,01-02-2017,4,1399.6,26.9275,349.9,51,625,1,900,4.3,19,20,8,2,2,2017,11.27717391,11400,19.99,11.75090909,349.9,26.9275,64.99,15.348,349.9,2,4.3,4.3,3.9,2799.2,8.0
health5,health_beauty,01-03-2017,2,699.8,21.275,349.9,51,625,1,900,4.3,25,23,8,1,3,2017,10.80163043,11400,19.99,13.81888889,89.99,13.02,64.99,17.26222222,349.9,3,4.3,4.3,3.9,1399.6,4.0
health5,health_beauty,01-04-2017,1,349.9,19.29,349.9,51,625,1,900,4.3,23,20,10,2,4,2017,4.585597826,11400,19.99,18.03846154,349.9,19.29,64.99,15.16888889,349.9,4,4.3,4.1,3.9,699.8,2.0
health5,health_beauty,01-05-2017,4,1399.6,26.73,349.9,51,625,1,900,4.3,41,23,8,1,5,2017,8.559782609,11400,19.99,14.8475,89.99,16.09833333,64.99,14.811875,349.9,5,4.3,4.3,3.9,349.9,1.0
